State,Intro_month,Intro_month_number,Intro_year
Alabama,June,6,2018
Alaska,June,6,2017
Arizona,November,11,2017
Arkansas,July,7,2017
California,May,5,2010
Colorado,May,5,2014
Connecticut,April,4,2014
Delaware,September,9,2014
District of Columbia,December,12,2012
Florida,June,6,2014
Georgia,August,8,2012
Hawaii,June,6,2013
Idaho,October,10,2014
Illinois,September,9,2011
Indiana,May,5,2015
Iowa,September,9,2014
Kansas,May,5,2014
Kentucky,June,6,2013
Louisiana,April,4,2015
Maine,October,10,2014
Maryland,February,2,2013
Massachusetts,September,9,2012
Michigan,July,7,2014
Minnesota,October,10,2012
Mississippi,October,10,2016
Missouri,November,11,2016
Montana,August,8,2016
Nebraska,July,7,2015
Nevada,October,10,2014
New Hampshire,October,10,2016
New Jersey,November,11,2013
New Mexico,April,4,2014
New York,May,5,2011
North Carolina,September,9,2016
North Dakota,May,5,2015
Ohio,December,12,2015
Oklahoma,October,10,2013
Oregon,December,12,2014
Pennsylvania,June,6,2012
Rhode Island,September,9,2013
South Carolina,June,6,2014
South Dakota,June,6,2019
Tennessee,December,12,2013
Texas,September,9,2014
Utah,May,5,2014
Vermont,January,1,2017
Virginia,August,8,2014
Washington,October,10,2011
West Virginia,July,7,2016
Wisconsin,July,7,2014
Wyoming,March,3,2017
