,year,state_name,rape_legacy,rape_revised,robbery,property_crime,burglary,larceny,motor_vehicle_theft,before_rape_legacy,before_rape_revised,before_robbery,before_property_crime,before_burglary,before_larceny,before_motor_vehicle_theft,after_rape_legacy,after_rape_revised,after_robbery,after_property_crime,after_burglary,after_larceny,after_motor_vehicle_theft
0,2018,Alabama,1805.340909090909,2032.0,4047,138702,29101,96328,13273,1717.1836734693877,2001.0,4233,143774,31270,99707,12797,1977.3684210526317,2068.0,3941,131133,26079,92477,12577
0,2017,Alaska,1805.340909090909,1074.0,952,26203,4167,17782,4254,754.0,1053.0,850,24876,4053,17766,3057,1977.3684210526317,1212.0,896,24345,3985,16364,3996
0,2017,Arizona,1805.340909090909,3622.0,7440,204999,37722,148251,19026,2461.0,3304.0,7045,207317,38216,150618,18483,1977.3684210526317,3605.0,6509,192730,31787,141789,19154
0,2017,Arkansas,1805.340909090909,2140.0,1998,94419,22369,64795,7255,1600.0,2214.0,2125,98092,23814,67091,7187,1977.3684210526317,2341.0,1593,89177,19520,62350,7307
0,2010,California,8331.0,2061.5365853658536,58116,981939,228857,600558,152524,8713.0,2105.0882352941176,64093,1009433,230198,615402,163833,7665.0,2141.282608695652,54291,973822,230075,596905,146842
0,2014,Colorado,2236.0,3089.0,3037,135789,23502,99688,12599,2198.0,2963.0,3136,139974,25075,102375,12524,2422.0,3328.0,3315,144044,23490,104532,16022
0,2014,Connecticut,579.0,794.0,3172,69326,12017,51195,6114,647.0,891.0,3551,71274,12934,52099,6241,585.0,798.0,2925,65610,10286,48898,6426
0,2014,Delaware,274.0,390.0,1271,27915,5765,20885,1265,278.0,399.0,1233,29001,6299,21347,1355,257.0,361.0,1240,25545,4797,19555,1193
0,2012,District of Columbia,236.0,2061.5365853658536,4037,30757,3519,23575,3663,173.0,2105.0882352941176,4094,29654,3850,21347,4457,297.0,395.0,4082,31097,3316,24547,3234
0,2014,Florida,5038.0,7132.0,21621,583774,121379,426197,36198,4765.0,6767.0,23200,607170,138915,433344,34911,5396.0,7552.0,21137,570270,109268,420341,40661
0,2012,Georgia,2143.0,2061.5365853658536,12502,339473,86992,223875,28606,2066.0,2105.0882352941176,12266,357235,96014,231543,29678,2022.0,2891.0,12704,339808,83459,229190,27159
0,2013,Hawaii,366.0,508.0,934,45266,7777,32928,4561,279.0,2105.0882352941176,1125,43419,7653,31901,3865,388.0,548.0,952,46022,7470,33003,5549
0,2014,Idaho,463.0,645.0,203,30440,6466,22297,1677,516.0,674.0,220,30230,6693,21999,1538,508.0,703.0,191,28912,6124,20916,1872
0,2011,Illinois,3030.0,2061.5365853658536,20217,344468,77719,237362,29387,3066.0,2105.0882352941176,20386,349064,77472,242681,28911,3581.0,2141.282608695652,19480,332706,71100,235314,26292
0,2015,Indiana,1757.0,2386.0,7081,171878,34404,123940,13534,1608.0,2197.0,6894,174909,36909,124144,13856,1813.0,2449.0,7291,168460,33567,120454,14439
0,2014,Iowa,829.0,1150.0,1047,65100,14363,46594,4143,873.0,1133.0,937,67976,15918,47803,4255,877.0,1205.0,1050,64688,14977,45328,4383
0,2014,Kansas,1066.0,1483.0,1361,80029,15921,57169,6939,1003.0,1295.0,1339,85704,17476,61557,6671,1226.0,1684.0,1823,80059,15619,57435,7005
0,2013,Kentucky,951.0,1646.0,3247,104448,26331,72048,6069,1312.0,2105.0882352941176,3547,112800,29877,76199,6724,1098.0,1556.0,3343,99909,23426,70108,6375
0,2015,Louisiana,1246.0,1733.0,5561,157708,35457,112520,9731,981.0,1382.0,5725,161192,38541,113251,9400,1329.0,1819.0,5575,154511,34689,109492,10330
0,2014,Maine,346.0,484.0,304,26427,5035,20591,801,366.0,495.0,335,30454,6480,23063,911,337.0,461.0,311,24361,4694,18853,814
0,2013,Maryland,1179.0,1679.0,10048,157918,31950,112551,13417,1237.0,2105.0882352941176,10173,162309,33803,113550,14956,1144.0,1632.0,9565,150390,28134,109140,13116
0,2012,Massachusetts,1650.0,2061.5365853658536,6555,143325,34635,99453,9237,1654.0,2105.0882352941176,6768,148829,36403,101644,10782,1722.0,2303.0,6705,137274,30716,97437,9121
0,2014,Michigan,4500.0,6364.0,8037,202692,44328,137142,21222,4506.0,6785.0,10093,230135,56256,149794,24085,4782.0,6710.0,7818,191191,40375,132019,18797
0,2012,Minnesota,1638.0,2061.5365853658536,3475,138152,25378,104316,8458,2113.0,2105.0882352941176,3385,136183,25681,102354,8148,1453.0,2014.0,3674,131193,22713,100514,7966
0,2016,Mississippi,910.0,1282.0,2433,82521,23489,54725,4307,851.0,1158.0,2312,85785,25068,56446,4271,1977.3684210526317,658.0,2492,82764,22449,55968,4347
0,2016,Missouri,1884.0,2557.0,6576,170661,31716,120649,18296,1858.0,2573.0,6383,173788,34029,122749,17010,1977.3684210526317,2737.0,6362,173380,30086,123356,19938
0,2016,Montana,427.0,598.0,268,28156,3966,21427,2763,405.0,572.0,210,27276,3887,20966,2423,1977.3684210526317,639.0,234,27294,3623,21073,2598
0,2015,Nebraska,648.0,885.0,994,42597,6443,32148,4006,645.0,878.0,1044,47526,7936,35063,4527,813.0,1108.0,946,43197,6459,32009,4729
0,2014,Nevada,987.0,1357.0,5954,74574,21924,42466,10184,1090.0,1482.0,5183,79177,23047,46132,9998,1232.0,1688.0,6287,77137,22360,43426,11351
