State,uber_intro_month,uber_intro_year,uber_unemployment,3_before,6_before,12_before,3_after,6_after,12_after
Alabama,6,2018,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Alaska,6,2017,7.2,7.1,7.2,6.9,7.2,7.2,7.12
Arizona,11,2017,4.7,4.7,4.9,5.2,4.933333333333334,4.933333333333334,4.933333333333334
Arkansas,7,2017,3.7,3.6,3.7,3.9,3.7,3.7250000000000005,3.7250000000000005
California,5,2010,12.4,12.5,12.3,11.5,12.4,12.4,11.7
Colorado,5,2014,5.8,6.1,6.5,6.9,5.1,4.1,4.3
Connecticut,4,2014,6.9,7.2,7.9,8.0,6.6,6.4,6.3
Delaware,9,2014,6.5,6.1,5.9,7.0,5.4,4.6,4.9
D.C.,12,2012,8.5,8.7,9.1,8.5,8.5,8.5,8.1
Florida,6,2014,6.2,6.3,5.6,7.1,6.1,5.6,5.5
Georgia,8,2012,9.2,8.9,9.1,10.2,8.5,8.6,8.7
Hawaii,6,2013,4.6,5.1,4.5,6.4,4.3,4.5,4.4
Idaho,10,2014,4.1,4.8,5.0,6.7,4.1,3.8,4.0
Illinois,9,2011,10.0,9.2,8.8,9.9,9.8,8.8,8.8
Indiana,5,2015,5.1,5.9,5.7,5.7,4.6,4.4,4.6
Iowa,9,2014,4.6,4.4,4.5,4.7,4.1,4.0,3.6
Kansas,5,2014,4.8,4.9,5.1,5.7,4.9,4.3,4.4
Kentucky,6,2013,8.4,8.0,8.0,8.2,8.3,8.0,7.4
Louisiana,4,2015,6.6,7.0,6.2,4.5,6.2,6.2,6.1
Maine,10,2014,5.8,5.5,5.7,6.7,5.2,4.7,4.3
Maryland,2,2013,6.6,6.6,7.1,6.5,6.7,7.0,5.7
Massachusetts,9,2012,6.5,6.0,6.5,7.3,6.7,6.4,7.1
Michigan,7,2014,7.7,7.4,7.8,8.8,7.1,6.3,5.3
Minnesota,10,2012,5.8,5.8,5.6,6.4,5.6,5.3,4.8
Mississippi,10,2016,5.6,5.8,6.0,5.9,5.4,5.3,4.8
Missouri,11,2016,4.5,4.8,4.6,4.7,4.0,3.7,3.6
Montana,8,2016,4.1,4.2,4.2,4.1,4.0,4.0,4.1
Nebraska,7,2015,2.7,2.5,2.9,3.6,2.9,3.0,3.1
Nevada,10,2014,7.1,7.7,8.0,9.3,7.1,7.1,6.6
New Hampshire,10,2016,2.8,2.9,2.9,3.3,2.8,2.7,2.6
New Jersey,11,2013,7.8,8.5,8.6,9.6,7.1,6.8,6.4
New Mexico,4,2014,6.8,6.6,6.6,6.7,6.6,6.5,6.2
New York,5,2011,7.9,8.2,8.3,8.3,8.0,8.0,8.6
North Carolina,9,2016,5.1,5.0,5.2,5.8,5.0,4.7,4.4
North Dakota,5,2015,3.1,2.9,2.7,2.6,2.9,2.7,3.2
Ohio,12,2015,4.7,4.5,5.2,4.7,5.0,5.0,5.2
Oklahoma,10,2013,5.5,5.3,4.9,5.3,5.2,4.6,4.5
Oregon,12,2014,6.7,7.1,6.8,6.7,5.4,5.5,5.4
Pennsylvania,6,2012,7.5,7.5,7.9,7.6,8.2,7.9,7.5
Rhode Island,9,2013,9.2,8.9,9.1,10.5,9.1,8.7,7.6
South Carolina,6,2014,5.3,5.5,6.5,8.1,6.6,6.5,6.6
South Dakota,6,2019,,,,,,,
Tennessee,12,2013,7.8,8.4,8.5,7.8,6.7,6.6,6.6
Texas,9,2014,5.2,5.1,5.5,6.3,4.6,4.2,4.2
Utah,5,2014,3.6,3.9,4.3,4.6,3.6,3.6,3.5
Vermont,1,2017,3.1,3.2,3.2,3.3,3.1,3.0,3.1599999999999997
Virginia,8,2014,5.6,5.1,4.9,5.8,5.0,4.7,4.5
Washington,10,2011,9.0,9.3,9.1,9.1,8.3,8.1,8.2
West Virginia,7,2016,6.1,6.3,6.4,7.5,5.9,5.3,5.1
Wisconsin,7,2014,5.8,5.8,6.1,6.8,5.4,5.0,4.6
Wyoming,3,2017,4.3,4.1,5.1,5.5,4.0,4.1,4.56
